display_name,display_name_short,export,maximum,measure_id,metadata_id,minimum,name,objective_function,objective_function_group,objective_function_index,output,perturbable,pivot,static_value,units,value_type,visualize,measure_name,measure_display_name,type_of_variable
electricity_consumption_actual,electricity_consumption_actual,true,,,,,CalibrationReportsEnhanced20.electricity_consumption_actual,false,,,true,false,false,,kWh,double,false,CalibrationReportsEnhanced20,,output
electricity_consumption_cvrmse,electricity_consumption_cvrmse,true,,,,,CalibrationReportsEnhanced20.electricity_consumption_cvrmse,true,,0,0,true,false,false,,%,double,true,CalibrationReportsEnhanced20,,output
electricity_consumption_modeled,electricity_consumption_modeled,true,,,,,CalibrationReportsEnhanced20.electricity_consumption_modeled,false,,,true,false,false,,kWh,double,false,CalibrationReportsEnhanced20,,output
electricity_consumption_nmbe,electricity_consumption_nmbe,true,,,,,CalibrationReportsEnhanced20.electricity_consumption_nmbe,true,,1,0,true,false,false,,%,double,true,CalibrationReportsEnhanced20,,output
electricity_cvrmse_within_limit,electricity_cvrmse_within_limit,true,,,,,CalibrationReportsEnhanced20.electricity_cvrmse_within_limit,false,,,true,false,false,,,double,true,CalibrationReportsEnhanced20,,output
electricity_nmbe_within_limit,electricity_nmbe_within_limit,true,,,,,CalibrationReportsEnhanced20.electricity_nmbe_within_limit,false,,,true,false,false,,,double,true,CalibrationReportsEnhanced20,,output
electricity_rmse,electricity_rmse,true,,,,,CalibrationReportsEnhanced20.electricity_rmse,false,,,true,false,false,,%,double,false,CalibrationReportsEnhanced20,,output
natural_gas_consumption_actual,natural_gas_consumption_actual,true,,,,,CalibrationReportsEnhanced20.natural_gas_consumption_actual,false,,,true,false,false,,therms,double,false,CalibrationReportsEnhanced20,,output
natural_gas_consumption_cvrmse,natural_gas_consumption_cvrmse,true,,,,,CalibrationReportsEnhanced20.natural_gas_consumption_cvrmse,true,,2,0,true,false,false,,%,double,true,CalibrationReportsEnhanced20,,output
natural_gas_consumption_modeled,natural_gas_consumption_modeled,true,,,,,CalibrationReportsEnhanced20.natural_gas_consumption_modeled,false,,,true,false,false,,therms,double,false,CalibrationReportsEnhanced20,,output
natural_gas_consumption_nmbe,natural_gas_consumption_nmbe,true,,,,,CalibrationReportsEnhanced20.natural_gas_consumption_nmbe,true,,3,0,true,false,false,,%,double,true,CalibrationReportsEnhanced20,,output
natural_gas_cvrmse_within_limit,natural_gas_cvrmse_within_limit,true,,,,,CalibrationReportsEnhanced20.natural_gas_cvrmse_within_limit,false,,,true,false,false,,,double,true,CalibrationReportsEnhanced20,,output
natural_gas_nmbe_within_limit,natural_gas_nmbe_within_limit,true,,,,,CalibrationReportsEnhanced20.natural_gas_nmbe_within_limit,false,,,true,false,false,,,double,true,CalibrationReportsEnhanced20,,output
natural_gas_rmse,natural_gas_rmse,true,,,,,CalibrationReportsEnhanced20.natural_gas_rmse,false,,,true,false,false,,%,double,false,CalibrationReportsEnhanced20,,output
electricity_ip,electricity_ip,true,,,,,OpenStudioResults.electricity_ip,false,,,true,false,false,,,double,false,OpenStudioResults,,output
eui,eui,true,,,,,OpenStudioResults.eui,false,,,true,false,false,,,double,false,OpenStudioResults,,output
natural_gas_ip,natural_gas_ip,true,,,,,OpenStudioResults.natural_gas_ip,false,,,true,false,false,,,double,false,OpenStudioResults,,output
Skip AddMonthlyJSONUtilityData,Skip entire measure,true,true,e3a35264-690f-4c93-93c0-9c670fe60312,,false,add_monthly_json_utility_data.__SKIP__,false,,,false,true,false,false,,boolean,true,add_monthly_json_utility_data,AddMonthlyJSONUtilityData,variable
Skip AddMonthlyJSONUtilityData 2,Skip entire measure,true,true,688500c7-0a27-4865-9750-956dd91af02e,,false,add_monthly_json_utility_data_2.__SKIP__,false,,,false,true,false,false,,boolean,true,add_monthly_json_utility_data_2,AddMonthlyJSONUtilityData 2,variable
Degrees Fahrenheit to Adjust Cooling Setpoint By.,cooling_adjustment,true,2,fce68ec3-1dbb-4b57-b594-826a629ee11a,,-6,adjust_thermostat_setpoints_by_degrees.cooling_adjustment,false,,,false,true,false,1,,double,true,adjust_thermostat_setpoints_by_degrees,Adjust Thermostat Setpoints by Degrees,variable
Degrees Fahrenheit to Adjust heating Setpoint By.,heating_adjustment,true,3.9,fce68ec3-1dbb-4b57-b594-826a629ee11a,,-6,adjust_thermostat_setpoints_by_degrees.heating_adjustment,false,,,false,true,false,-1,,double,true,adjust_thermostat_setpoints_by_degrees,Adjust Thermostat Setpoints by Degrees,variable
Nominal Capacity (W),nom_cap,true,3000,e08b39e1-a8c9-4d26-87e5-7821d71ef011,,0,change_electric_baseboard.nom_cap,false,,,false,true,false,1500,,double,true,change_electric_baseboard,Change Electric Baseboard,variable
Exterior wall total R-value multiplier,r_value_mult,true,4.5,8bdb7876-aac7-4643-9505-ff2baaf5a87e,,0.5,change_exterior_wall_thermal_properties.r_value_mult,false,,,false,true,false,1,,double,true,change_exterior_wall_thermal_properties,Change Exterior Wall Thermal Properties,variable
